arrival_date,sku_name,category,mandi_name,zone,min_price_rs_kg,max_price_rs_kg,modal_price_rs_kg,arrival_qty_mt
2026-05-15,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,13.0,66.1
2026-05-16,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,83.3
2026-05-18,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,58.2
2026-05-19,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,80.8
2026-05-20,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,76.4
2026-05-21,Bottle gourd,Volatile,Azadpur APMC,North,10.0,15.0,12.0,72.7
2025-11-16,Bottle gourd,Volatile,Gazipur APMC,East,36.0,40.0,38.0,13.12
2025-11-21,Bottle gourd,Volatile,Gazipur APMC,East,42.0,46.0,44.0,19.92
2025-11-23,Bottle gourd,Volatile,Gazipur APMC,East,35.0,41.0,38.0,14.65
2025-11-25,Bottle gourd,Volatile,Gazipur APMC,East,32.0,40.0,36.0,19.56
2025-11-26,Bottle gourd,Volatile,Gazipur APMC,East,28.0,32.0,30.0,13.2
2025-11-27,Bottle gourd,Volatile,Gazipur APMC,East,28.0,32.0,30.0,14.58
2025-11-28,Bottle gourd,Volatile,Gazipur APMC,East,30.0,34.0,32.0,7.9
2025-11-30,Bottle gourd,Volatile,Gazipur APMC,East,32.0,36.0,34.0,6.54
2025-12-01,Bottle gourd,Volatile,Gazipur APMC,East,32.0,36.0,34.0,8.5
2025-12-02,Bottle gourd,Volatile,Gazipur APMC,East,34.0,38.0,36.0,32.22
2025-12-03,Bottle gourd,Volatile,Gazipur APMC,East,35.0,38.0,36.0,6.71
2025-12-04,Bottle gourd,Volatile,Gazipur APMC,East,30.0,40.0,35.0,13.7
2025-12-05,Bottle gourd,Volatile,Gazipur APMC,East,30.0,36.0,33.0,13.65
2025-12-07,Bottle gourd,Volatile,Gazipur APMC,East,35.0,45.0,40.0,10.3
2025-12-09,Bottle gourd,Volatile,Gazipur APMC,East,34.0,36.0,35.0,2.12
2025-12-10,Bottle gourd,Volatile,Gazipur APMC,East,35.0,41.0,38.0,8.5
2025-12-11,Bottle gourd,Volatile,Gazipur APMC,East,38.0,42.0,40.0,7.2
2025-12-14,Bottle gourd,Volatile,Gazipur APMC,East,40.0,42.0,41.0,8.57
2025-12-15,Bottle gourd,Volatile,Gazipur APMC,East,38.0,42.0,40.0,9.02
2025-12-17,Bottle gourd,Volatile,Gazipur APMC,East,40.0,42.0,41.0,22.7
2025-12-18,Bottle gourd,Volatile,Gazipur APMC,East,34.0,38.0,36.0,28.73
2025-12-19,Bottle gourd,Volatile,Gazipur APMC,East,28.0,32.0,30.0,10.72
2025-12-22,Bottle gourd,Volatile,Gazipur APMC,East,20.0,24.0,22.0,20.45
2025-12-23,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,12.59
2025-12-26,Bottle gourd,Volatile,Gazipur APMC,East,16.0,20.0,18.0,8.38
2025-12-30,Bottle gourd,Volatile,Gazipur APMC,East,12.0,16.0,14.0,119.12
2026-01-01,Bottle gourd,Volatile,Gazipur APMC,East,12.0,16.0,14.0,14.6
2026-01-02,Bottle gourd,Volatile,Gazipur APMC,East,14.0,16.0,15.0,7.0
2026-01-04,Bottle gourd,Volatile,Gazipur APMC,East,14.0,18.0,16.0,8.32
2026-01-05,Bottle gourd,Volatile,Gazipur APMC,East,14.0,18.0,16.0,2.88
2026-01-06,Bottle gourd,Volatile,Gazipur APMC,East,14.0,18.0,16.0,10.85
2026-01-13,Bottle gourd,Volatile,Gazipur APMC,East,22.0,26.0,24.0,10.25
2026-01-14,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,11.0
2026-01-15,Bottle gourd,Volatile,Gazipur APMC,East,26.0,30.0,28.0,9.2
2026-01-16,Bottle gourd,Volatile,Gazipur APMC,East,28.0,32.0,30.0,6.85
2026-01-17,Bottle gourd,Volatile,Gazipur APMC,East,28.0,32.0,30.0,21.55
2026-01-19,Bottle gourd,Volatile,Gazipur APMC,East,24.0,26.0,25.0,10.05
2026-01-20,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,14.57
2026-01-21,Bottle gourd,Volatile,Gazipur APMC,East,25.0,27.0,26.0,6.7
2026-01-26,Bottle gourd,Volatile,Gazipur APMC,East,30.0,34.0,32.0,9.07
2026-01-28,Bottle gourd,Volatile,Gazipur APMC,East,26.0,30.0,28.0,12.57
2026-01-29,Bottle gourd,Volatile,Gazipur APMC,East,28.0,32.0,30.0,11.32
2026-01-30,Bottle gourd,Volatile,Gazipur APMC,East,26.0,30.0,28.0,10.42
2026-02-01,Bottle gourd,Volatile,Gazipur APMC,East,28.0,30.0,29.0,5.85
2026-02-02,Bottle gourd,Volatile,Gazipur APMC,East,26.0,30.0,28.0,5.75
2026-02-03,Bottle gourd,Volatile,Gazipur APMC,East,22.0,26.0,24.0,3.72
2026-02-04,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,6.52
2026-02-06,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,7.35
2026-02-10,Bottle gourd,Volatile,Gazipur APMC,East,24.0,26.0,25.0,11.4
2026-02-11,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,12.3
2026-02-17,Bottle gourd,Volatile,Gazipur APMC,East,25.0,29.0,27.0,24.3
2026-02-18,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,15.7
2026-02-19,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,21.9
2026-02-22,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,22.87
2026-02-23,Bottle gourd,Volatile,Gazipur APMC,East,22.0,26.0,24.0,20.0
2026-02-24,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,22.87
2026-02-25,Bottle gourd,Volatile,Gazipur APMC,East,20.0,24.0,22.0,31.42
2026-03-01,Bottle gourd,Volatile,Gazipur APMC,East,26.0,30.0,28.0,38.25
2026-03-02,Bottle gourd,Volatile,Gazipur APMC,East,24.0,28.0,26.0,25.12
2026-03-05,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,27.17
2026-03-06,Bottle gourd,Volatile,Gazipur APMC,East,20.0,22.0,21.0,25.85
2026-03-08,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,41.42
2026-03-09,Bottle gourd,Volatile,Gazipur APMC,East,16.0,20.0,18.0,36.03
2026-03-10,Bottle gourd,Volatile,Gazipur APMC,East,18.0,20.0,19.0,45.52
2026-03-16,Bottle gourd,Volatile,Gazipur APMC,East,16.0,20.0,18.0,41.0
2026-03-17,Bottle gourd,Volatile,Gazipur APMC,East,18.0,20.0,19.0,32.15
2026-03-23,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,25.9
2026-03-26,Bottle gourd,Volatile,Gazipur APMC,East,20.0,24.0,22.0,24.65
2026-03-27,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,15.27
2026-03-29,Bottle gourd,Volatile,Gazipur APMC,East,20.0,22.0,21.0,42.37
2026-04-01,Bottle gourd,Volatile,Gazipur APMC,East,20.0,24.0,22.0,3.69
2026-04-05,Bottle gourd,Volatile,Gazipur APMC,East,20.0,24.0,22.0,39.37
2026-04-06,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,23.95
2026-04-08,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,17.3
2026-04-09,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,14.13
2026-04-12,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,29.77
2026-04-13,Bottle gourd,Volatile,Gazipur APMC,East,18.0,22.0,20.0,21.35
2026-04-14,Bottle gourd,Volatile,Gazipur APMC,East,15.0,19.0,17.0,26.15
2026-04-15,Bottle gourd,Volatile,Gazipur APMC,East,15.0,19.0,17.0,50.66
2026-04-16,Bottle gourd,Volatile,Gazipur APMC,East,14.0,16.0,15.0,27.05
2026-04-17,Bottle gourd,Volatile,Gazipur APMC,East,15.0,19.0,17.0,42.32
2026-04-18,Bottle gourd,Volatile,Gazipur APMC,East,15.0,19.0,17.0,30.2
2026-04-19,Bottle gourd,Volatile,Gazipur APMC,East,12.0,16.0,14.0,36.85
2026-04-20,Bottle gourd,Volatile,Gazipur APMC,East,12.0,16.0,14.0,36.17
2026-04-21,Bottle gourd,Volatile,Gazipur APMC,East,14.0,16.0,15.0,44.65
2026-04-22,Bottle gourd,Volatile,Gazipur APMC,East,12.0,16.0,14.0,36.17
2026-04-23,Bottle gourd,Volatile,Gazipur APMC,East,6.0,8.0,7.0,26.62
2026-04-24,Bottle gourd,Volatile,Gazipur APMC,East,10.0,14.0,12.0,28.91
2026-04-27,Bottle gourd,Volatile,Gazipur APMC,East,12.0,14.0,13.0,23.3
2026-04-28,Bottle gourd,Volatile,Gazipur APMC,East,10.0,14.0,12.0,25.5
2026-04-29,Bottle gourd,Volatile,Gazipur APMC,East,9.0,11.0,10.0,28.52
2026-04-30,Bottle gourd,Volatile,Gazipur APMC,East,9.0,11.0,10.0,36.77
2026-05-01,Bottle gourd,Volatile,Gazipur APMC,East,9.0,11.0,10.0,33.07
2026-05-02,Bottle gourd,Volatile,Gazipur APMC,East,10.0,14.0,12.0,21.97
2026-05-03,Bottle gourd,Volatile,Gazipur APMC,East,8.0,12.0,10.0,26.3
2026-05-04,Bottle gourd,Volatile,Gazipur APMC,East,8.0,12.0,10.0,23.1
2026-05-05,Bottle gourd,Volatile,Gazipur APMC,East,10.0,12.0,11.0,35.22
2026-05-06,Bottle gourd,Volatile,Gazipur APMC,East,8.0,10.0,9.0,21.9
2026-05-07,Bottle gourd,Volatile,Gazipur APMC,East,8.0,12.0,10.0,31.07
2026-05-09,Bottle gourd,Volatile,Gazipur APMC,East,8.0,12.0,10.0,31.7
2026-05-10,Bottle gourd,Volatile,Gazipur APMC,East,8.0,10.0,9.0,31.5
2026-05-11,Bottle gourd,Volatile,Gazipur APMC,East,8.0,12.0,10.0,21.0
2026-05-12,Bottle gourd,Volatile,Gazipur APMC,East,10.0,12.0,11.0,36.73
2026-05-13,Bottle gourd,Volatile,Gazipur APMC,East,9.0,11.0,10.0,39.03
2026-05-14,Bottle gourd,Volatile,Gazipur APMC,East,8.0,10.0,9.0,33.12
2026-05-15,Bottle gourd,Volatile,Gazipur APMC,East,9.0,11.0,10.0,34.9
2026-05-16,Bottle gourd,Volatile,Gazipur APMC,East,9.0,11.0,10.0,35.35
2026-05-18,Bottle gourd,Volatile,Gazipur APMC,East,15.0,17.0,16.0,28.97
2026-05-19,Bottle gourd,Volatile,Gazipur APMC,East,15.0,17.0,16.0,25.23
2026-05-20,Bottle gourd,Volatile,Gazipur APMC,East,8.0,12.0,10.0,34.8
2025-11-08,Bottle gourd,Volatile,Keshopur APMC,West,16.0,26.0,22.0,14.78
2025-11-09,Bottle gourd,Volatile,Keshopur APMC,West,20.0,26.0,23.0,6.19
2025-11-10,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,4.97
2025-11-11,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,25.0,8.28
2025-11-13,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.5,12.93
2025-11-14,Bottle gourd,Volatile,Keshopur APMC,West,20.0,24.0,22.0,11.68
2025-11-15,Bottle gourd,Volatile,Keshopur APMC,West,20.0,25.0,23.0,8.0
2025-11-16,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,4.78
2025-11-17,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,10.46
2025-11-18,Bottle gourd,Volatile,Keshopur APMC,West,25.0,32.0,30.0,5.03
2025-11-20,Bottle gourd,Volatile,Keshopur APMC,West,25.0,35.0,31.0,8.39
2025-11-23,Bottle gourd,Volatile,Keshopur APMC,West,20.0,38.0,27.0,7.99
2025-11-24,Bottle gourd,Volatile,Keshopur APMC,West,26.0,35.0,32.0,16.06
2025-11-27,Bottle gourd,Volatile,Keshopur APMC,West,18.0,30.0,24.0,8.43
2025-11-28,Bottle gourd,Volatile,Keshopur APMC,West,18.0,28.0,25.0,17.3
2025-11-30,Bottle gourd,Volatile,Keshopur APMC,West,18.0,30.0,26.0,7.65
2025-12-01,Bottle gourd,Volatile,Keshopur APMC,West,25.0,32.0,29.5,12.16
2025-12-02,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,25.0,5.39
2025-12-04,Bottle gourd,Volatile,Keshopur APMC,West,25.0,30.0,27.5,5.62
2025-12-05,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,13.56
2025-12-06,Bottle gourd,Volatile,Keshopur APMC,West,18.0,28.0,24.5,10.45
2025-12-07,Bottle gourd,Volatile,Keshopur APMC,West,18.0,28.0,25.0,8.17
2025-12-08,Bottle gourd,Volatile,Keshopur APMC,West,26.0,34.0,29.0,8.57
2025-12-09,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.5,1.41
2025-12-11,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,6.15
2025-12-12,Bottle gourd,Volatile,Keshopur APMC,West,25.0,30.0,27.5,9.43
2025-12-14,Bottle gourd,Volatile,Keshopur APMC,West,22.0,36.0,28.0,5.86
2025-12-15,Bottle gourd,Volatile,Keshopur APMC,West,24.0,34.0,27.0,14.73
2025-12-16,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,27.0,9.85
2025-12-18,Bottle gourd,Volatile,Keshopur APMC,West,26.0,36.0,33.0,9.75
2025-12-19,Bottle gourd,Volatile,Keshopur APMC,West,30.0,40.0,36.0,13.74
2025-12-20,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,10.82
2025-12-21,Bottle gourd,Volatile,Keshopur APMC,West,18.0,26.0,23.0,36.24
2025-12-22,Bottle gourd,Volatile,Keshopur APMC,West,25.0,32.0,30.0,11.8
2025-12-23,Bottle gourd,Volatile,Keshopur APMC,West,15.0,25.0,21.5,28.51
2025-12-26,Bottle gourd,Volatile,Keshopur APMC,West,16.0,24.0,21.5,12.93
2025-12-27,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,22.41
2026-01-01,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,20.54
2026-01-02,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,5.74
2026-01-03,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,33.93
2026-01-04,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,8.6
2026-01-05,Bottle gourd,Volatile,Keshopur APMC,West,15.0,24.0,21.5,15.28
2026-01-06,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,10.22
2026-01-08,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,33.83
2026-01-09,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,25.97
2026-01-11,Bottle gourd,Volatile,Keshopur APMC,West,18.0,32.0,27.0,4.35
2026-01-12,Bottle gourd,Volatile,Keshopur APMC,West,15.0,25.0,21.5,1.72
2026-01-13,Bottle gourd,Volatile,Keshopur APMC,West,15.0,25.0,22.0,6.6
2026-01-15,Bottle gourd,Volatile,Keshopur APMC,West,15.0,25.0,22.5,25.53
2026-01-16,Bottle gourd,Volatile,Keshopur APMC,West,15.0,27.0,23.0,6.0
2026-01-17,Bottle gourd,Volatile,Keshopur APMC,West,15.0,25.0,22.5,25.88
2026-01-18,Bottle gourd,Volatile,Keshopur APMC,West,18.0,28.0,25.0,1.53
2026-01-19,Bottle gourd,Volatile,Keshopur APMC,West,24.0,32.0,30.0,3.13
2026-01-20,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.5,2.95
2026-01-22,Bottle gourd,Volatile,Keshopur APMC,West,15.0,25.0,22.0,4.48
2026-01-23,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,19.58
2026-01-24,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.0,14.7
2026-01-29,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.5,28.33
2026-01-30,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,35.49
2026-01-31,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,24.15
2026-02-01,Bottle gourd,Volatile,Keshopur APMC,West,26.0,36.0,32.0,12.42
2026-02-02,Bottle gourd,Volatile,Keshopur APMC,West,20.0,28.0,24.5,16.6
2026-02-03,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,2.4
2026-02-05,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,12.0
2026-02-06,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,17.95
2026-02-07,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,24.0,23.4
2026-02-10,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,4.0
2026-02-12,Bottle gourd,Volatile,Keshopur APMC,West,30.0,40.0,36.0,26.33
2026-02-13,Bottle gourd,Volatile,Keshopur APMC,West,30.0,40.0,36.0,7.6
2026-02-14,Bottle gourd,Volatile,Keshopur APMC,West,20.0,30.0,26.0,11.16
2026-02-15,Bottle gourd,Volatile,Keshopur APMC,West,30.0,40.0,36.0,14.83
